seed,gamma,h,L,N_code,epsilon,mode,total_resources,converged,final_error,n_accepted,n_rejected,acceptance_rate,n_syndrome_used,mean_d,sum_F_obs,sum_M_sq,timestamp
7,1.0000000000e-02,0.0000000000e+00,1,3,1.0000000000e-04,full_likelihood_cond_only,249969924,False,2.5414118767e+00,50000,0,1.0000000000e+00,82,1.6400000000e-03,6.6557714019e+12,1.8503877179e+11,2026-05-04T13:15:38.647118
7,1.0000000000e-02,0.0000000000e+00,1,3,1.1242100351e-04,full_likelihood_cond_only,396840,True,1.0907649994e-05,80,0,1.0000000000e+00,1,1.2500000000e-02,9.6790198120e+09,2.7013342200e+08,2026-05-04T13:15:38.723212
7,1.0000000000e-02,0.0000000000e+00,1,3,1.2638482029e-04,full_likelihood_cond_only,1874763,True,1.0907649994e-05,480,0,1.0000000000e+00,2,4.1666666667e-03,3.9336308656e+10,1.0945664210e+09,2026-05-04T13:15:39.089311
7,1.0000000000e-02,0.0000000000e+00,1,3,1.4208308325e-04,full_likelihood_cond_only,176052468,False,2.5414118767e+00,50000,0,1.0000000000e+00,82,1.6400000000e-03,3.3027891087e+12,9.1835030136e+10,2026-05-04T13:15:50.756121
7,1.0000000000e-02,0.0000000000e+00,1,3,1.5973122801e-04,full_likelihood_cond_only,381417,True,1.0907649994e-05,110,0,1.0000000000e+00,1,9.0909090909e-03,6.8940826920e+09,1.9204679700e+08,2026-05-04T13:15:50.850343
7,1.0000000000e-02,0.0000000000e+00,1,3,1.7957144944e-04,full_likelihood_cond_only,113871,True,1.0907649994e-05,40,0,1.0000000000e+00,0,0.0000000000e+00,1.6565416920e+09,4.6015047000e+07,2026-05-04T13:15:50.890164
7,1.0000000000e-02,0.0000000000e+00,1,3,2.0187602547e-04,full_likelihood_cond_only,1672374,True,1.0907649994e-05,670,0,1.0000000000e+00,2,2.9850746269e-03,2.2003624796e+10,6.1219735600e+08,2026-05-04T13:15:51.368171
7,1.0000000000e-02,0.0000000000e+00,1,3,2.2695105367e-04,full_likelihood_cond_only,110060631,False,2.5414118767e+00,50000,0,1.0000000000e+00,97,1.9600000000e-03,1.2920566603e+12,3.5926264003e+10,2026-05-04T13:16:01.666956
7,1.0000000000e-02,0.0000000000e+00,1,3,2.5514065200e-04,full_likelihood_cond_only,261783,True,1.0907649994e-05,130,0,1.0000000000e+00,1,7.6923076923e-03,2.6869361200e+09,7.5330275000e+07,2026-05-04T13:16:01.768792
7,1.0000000000e-02,0.0000000000e+00,1,3,2.8683168133e-04,full_likelihood_cond_only,87154977,False,6.0018110275e-01,50000,0,1.0000000000e+00,75,1.5000000000e-03,8.1037534062e+11,2.2527257701e+10,2026-05-04T13:16:11.740818
7,1.0000000000e-02,0.0000000000e+00,1,3,3.2245905453e-04,full_likelihood_cond_only,162168,True,3.7044286728e-05,110,0,1.0000000000e+00,0,0.0000000000e+00,1.2881072880e+09,3.5780758000e+07,2026-05-04T13:16:11.824924
7,1.0000000000e-02,0.0000000000e+00,1,3,3.6251170500e-04,full_likelihood_cond_only,465498,True,3.7044286728e-05,340,0,1.0000000000e+00,0,0.0000000000e+00,3.4057949760e+09,9.4605416000e+07,2026-05-04T13:16:12.039247
7,1.0000000000e-02,0.0000000000e+00,1,3,4.0753929659e-04,full_likelihood_cond_only,693735,True,1.0907649994e-05,550,0,1.0000000000e+00,0,0.0000000000e+00,4.5723585240e+09,1.2700995900e+08,2026-05-04T13:16:12.361908
7,1.0000000000e-02,0.0000000000e+00,1,3,4.5815976691e-04,full_likelihood_cond_only,95100,True,1.0907649994e-05,80,0,1.0000000000e+00,1,1.2500000000e-02,5.8907113200e+08,1.6438732000e+07,2026-05-04T13:16:12.422940
7,1.0000000000e-02,0.0000000000e+00,1,3,5.1506780762e-04,full_likelihood_cond_only,19413,True,1.0907649994e-05,20,0,1.0000000000e+00,0,0.0000000000e+00,1.0228309200e+08,2.8411970000e+06,2026-05-04T13:16:12.444597
7,1.0000000000e-02,0.0000000000e+00,1,3,5.7904439806e-04,full_likelihood_cond_only,2468103,True,1.0907649994e-05,2840,0,1.0000000000e+00,5,1.7605633803e-03,1.1334102052e+10,3.1522127700e+08,2026-05-04T13:16:13.352817
7,1.0000000000e-02,0.0000000000e+00,1,3,6.5096752305e-04,full_likelihood_cond_only,77361,True,1.0907649994e-05,110,0,1.0000000000e+00,0,0.0000000000e+00,3.1623692400e+08,8.7843590000e+06,2026-05-04T13:16:13.430316
7,1.0000000000e-02,0.0000000000e+00,1,3,7.3182422191e-04,full_likelihood_cond_only,184773,True,1.0907649994e-05,280,0,1.0000000000e+00,1,3.5714285714e-03,6.6412915600e+08,1.8449901000e+07,2026-05-04T13:16:13.594115
7,1.0000000000e-02,0.0000000000e+00,1,3,8.2272413417e-04,full_likelihood_cond_only,952506,True,1.0907649994e-05,1550,0,1.0000000000e+00,3,1.9354838710e-03,3.0909626160e+09,8.5962976000e+07,2026-05-04T13:16:14.156026
7,1.0000000000e-02,0.0000000000e+00,1,3,9.2491472772e-04,full_likelihood_cond_only,25647,True,2.7671456337e-04,50,0,1.0000000000e+00,0,0.0000000000e+00,7.9562628000e+07,2.2100730000e+06,2026-05-04T13:16:14.198805
7,1.0000000000e-02,0.0000000000e+00,1,3,1.0397984185e-03,full_likelihood_cond_only,629844,True,3.7044286728e-05,1290,0,1.0000000000e+00,3,2.3255813953e-03,1.6402807440e+09,4.5584524000e+07,2026-05-04T13:16:14.650173
7,1.0000000000e-02,0.0000000000e+00,1,3,1.1689518165e-03,full_likelihood_cond_only,12810,True,2.2879242897e-04,30,0,1.0000000000e+00,0,0.0000000000e+00,2.8588176000e+07,7.9411600000e+05,2026-05-04T13:16:14.679233
7,1.0000000000e-02,0.0000000000e+00,1,3,1.3141473626e-03,full_likelihood_cond_only,14541,True,3.7044286728e-05,40,0,1.0000000000e+00,0,0.0000000000e+00,2.9072556000e+07,8.0757100000e+05,2026-05-04T13:16:14.715349
7,1.0000000000e-02,0.0000000000e+00,1,3,1.4773776526e-03,full_likelihood_cond_only,5016,True,2.0265579224e-04,20,0,1.0000000000e+00,0,0.0000000000e+00,6.5692080000e+06,1.8247800000e+05,2026-05-04T13:16:14.737150
7,1.0000000000e-02,0.0000000000e+00,1,3,1.6608827826e-03,full_likelihood_cond_only,10254,True,2.5057792664e-04,40,0,1.0000000000e+00,0,0.0000000000e+00,1.5014160000e+07,4.1706000000e+05,2026-05-04T13:16:14.771478
7,1.0000000000e-02,0.0000000000e+00,1,3,1.8671810913e-03,full_likelihood_cond_only,2616,True,7.5608491898e-04,10,0,1.0000000000e+00,0,0.0000000000e+00,3.4347600000e+06,9.5410000000e+04,2026-05-04T13:16:14.786107
7,1.0000000000e-02,0.0000000000e+00,1,3,2.0991037201e-03,full_likelihood_cond_only,3825,True,6.1228871346e-04,20,0,1.0000000000e+00,0,0.0000000000e+00,3.7441800000e+06,1.0400500000e+05,2026-05-04T13:16:14.807957
7,1.0000000000e-02,0.0000000000e+00,1,3,2.3598334668e-03,full_likelihood_cond_only,7068,True,3.7044286728e-05,30,0,1.0000000000e+00,0,0.0000000000e+00,8.4736080000e+06,2.3537800000e+05,2026-05-04T13:16:14.836934
7,1.0000000000e-02,0.0000000000e+00,1,3,2.6529484644e-03,full_likelihood_cond_only,1665,True,1.1395812035e-03,10,0,1.0000000000e+00,0,0.0000000000e+00,1.7055000000e+06,4.7375000000e+04,2026-05-04T13:16:14.855072
7,1.0000000000e-02,0.0000000000e+00,1,3,2.9824712862e-03,full_likelihood_cond_only,13299,True,2.0265579224e-04,70,0,1.0000000000e+00,0,0.0000000000e+00,1.2511692000e+07,3.4754700000e+05,2026-05-04T13:16:14.906413
7,1.0000000000e-02,0.0000000000e+00,1,3,3.3529241492e-03,full_likelihood_cond_only,3906,True,8.2582235336e-04,30,0,1.0000000000e+00,0,0.0000000000e+00,3.0718800000e+06,8.5330000000e+04,2026-05-04T13:16:14.931962
7,1.0000000000e-02,0.0000000000e+00,1,3,3.7693909754e-03,full_likelihood_cond_only,26343,True,8.4966421127e-05,190,0,1.0000000000e+00,0,0.0000000000e+00,1.8413460000e+07,5.1148500000e+05,2026-05-04T13:16:15.020596
7,1.0000000000e-02,0.0000000000e+00,1,3,4.2375871606e-03,full_likelihood_cond_only,5547,True,6.8199634552e-04,50,0,1.0000000000e+00,0,0.0000000000e+00,3.3008760000e+06,9.1691000000e+04,2026-05-04T13:16:15.060116
7,1.0000000000e-02,0.0000000000e+00,1,3,4.7639380104e-03,full_likelihood_cond_only,3144,True,9.4783306122e-04,30,0,1.0000000000e+00,0,0.0000000000e+00,1.7692560000e+06,4.9146000000e+04,2026-05-04T13:16:15.089122
7,1.0000000000e-02,0.0000000000e+00,1,3,5.3556669177e-03,full_likelihood_cond_only,1149,True,7.0816278458e-04,10,0,1.0000000000e+00,0,0.0000000000e+00,5.9259600000e+05,1.6461000000e+04,2026-05-04T13:16:15.102312
7,1.0000000000e-02,0.0000000000e+00,1,3,6.0208944933e-03,full_likelihood_cond_only,77400,True,1.5470385551e-04,930,0,1.0000000000e+00,7,7.5268817204e-03,3.3814040000e+07,9.4176000000e+05,2026-05-04T13:16:15.313989
7,1.0000000000e-02,0.0000000000e+00,1,3,6.7687500095e-03,full_likelihood_cond_only,1344,True,8.5195899010e-04,20,0,1.0000000000e+00,0,0.0000000000e+00,5.2891200000e+05,1.4692000000e+04,2026-05-04T13:16:15.334008
7,1.0000000000e-02,0.0000000000e+00,1,3,7.6094966855e-03,full_likelihood_cond_only,1170,True,4.4690370560e-03,20,0,1.0000000000e+00,0,0.0000000000e+00,3.6856800000e+05,1.0238000000e+04,2026-05-04T13:16:15.352885
7,1.0000000000e-02,0.0000000000e+00,1,3,8.5546725356e-03,full_likelihood_cond_only,579,True,6.8199634552e-04,10,0,1.0000000000e+00,0,0.0000000000e+00,1.7442000000e+05,4.8450000000e+03,2026-05-04T13:16:15.366371
7,1.0000000000e-02,0.0000000000e+00,1,3,9.6172487112e-03,full_likelihood_cond_only,227397,True,5.8829784393e-05,4390,0,1.0000000000e+00,5,1.1389521640e-03,6.2132640000e+07,1.7272750000e+06,2026-05-04T13:16:16.189504
7,1.0000000000e-02,0.0000000000e+00,1,3,1.0811807511e-02,full_likelihood_cond_only,1584,True,7.7787041664e-04,30,0,1.0000000000e+00,0,0.0000000000e+00,3.7346400000e+05,1.0374000000e+04,2026-05-04T13:16:16.212689
7,1.0000000000e-02,0.0000000000e+00,1,3,1.2154742501e-02,full_likelihood_cond_only,28068,True,4.9024820328e-04,670,0,1.0000000000e+00,2,2.9850746269e-03,6.1955240000e+06,1.7263400000e+05,2026-05-04T13:16:16.361534
7,1.0000000000e-02,0.0000000000e+00,1,3,1.3664483493e-02,full_likelihood_cond_only,5190,True,1.1613667011e-03,150,0,1.0000000000e+00,0,0.0000000000e+00,9.6494400000e+05,2.6804000000e+04,2026-05-04T13:16:16.411273
7,1.0000000000e-02,0.0000000000e+00,1,3,1.5361749467e-02,full_likelihood_cond_only,561,True,4.8786699772e-03,20,0,1.0000000000e+00,0,0.0000000000e+00,8.7588000000e+04,2.4330000000e+03,2026-05-04T13:16:16.429625
7,1.0000000000e-02,0.0000000000e+00,1,3,1.7269832907e-02,full_likelihood_cond_only,33810,True,1.0916590691e-03,1130,0,1.0000000000e+00,3,2.6548672566e-03,5.2656720000e+06,1.4649200000e+05,2026-05-04T13:16:16.673611
7,1.0000000000e-02,0.0000000000e+00,1,3,1.9414919457e-02,full_likelihood_cond_only,252,True,1.9283592701e-03,10,0,1.0000000000e+00,0,0.0000000000e+00,3.2328000000e+04,8.9800000000e+02,2026-05-04T13:16:16.687440
7,1.0000000000e-02,0.0000000000e+00,1,3,2.1826447284e-02,full_likelihood_cond_only,17076,True,7.7787041664e-04,690,0,1.0000000000e+00,1,1.4492753623e-03,2.1604480000e+06,6.0048000000e+04,2026-05-04T13:16:16.845874
7,1.0000000000e-02,0.0000000000e+00,1,3,2.4537511066e-02,full_likelihood_cond_only,252,True,5.8591961861e-03,10,0,1.0000000000e+00,0,0.0000000000e+00,3.1320000000e+04,8.7000000000e+02,2026-05-04T13:16:16.859157
7,1.0000000000e-02,0.0000000000e+00,1,3,2.7585316176e-02,full_likelihood_cond_only,255,True,5.8853328228e-03,10,0,1.0000000000e+00,0,0.0000000000e+00,3.0492000000e+04,8.4700000000e+02,2026-05-04T13:16:16.872550
7,1.0000000000e-02,0.0000000000e+00,1,3,3.1011689266e-02,full_likelihood_cond_only,159,True,9.7202956676e-03,10,0,1.0000000000e+00,0,0.0000000000e+00,1.3212000000e+04,3.6700000000e+02,2026-05-04T13:16:16.886257
7,1.0000000000e-02,0.0000000000e+00,1,3,3.4863652277e-02,full_likelihood_cond_only,267,True,4.6607851982e-03,20,0,1.0000000000e+00,0,0.0000000000e+00,1.8684000000e+04,5.1900000000e+02,2026-05-04T13:16:16.903181
7,1.0000000000e-02,0.0000000000e+00,1,3,3.9194067748e-02,full_likelihood_cond_only,108,True,8.7615549564e-03,10,0,1.0000000000e+00,0,0.0000000000e+00,6.0480000000e+03,1.6800000000e+02,2026-05-04T13:16:16.914245
7,1.0000000000e-02,0.0000000000e+00,1,3,4.4062364278e-02,full_likelihood_cond_only,96378,True,2.2879242897e-04,7990,0,1.0000000000e+00,20,2.5031289111e-03,5.8026200000e+06,1.6141000000e+05,2026-05-04T13:16:18.521464
7,1.0000000000e-02,0.0000000000e+00,1,3,4.9535352090e-02,full_likelihood_cond_only,111,True,4.9745440483e-03,10,0,1.0000000000e+00,0,0.0000000000e+00,5.7240000000e+03,1.5900000000e+02,2026-05-04T13:16:18.538638
7,1.0000000000e-02,0.0000000000e+00,1,3,5.5688139909e-02,full_likelihood_cond_only,49257,True,5.3820014000e-04,5440,0,1.0000000000e+00,8,1.4705882353e-03,2.1806720000e+06,6.0637000000e+04,2026-05-04T13:16:19.687307
7,1.0000000000e-02,0.0000000000e+00,1,3,6.2605165720e-02,full_likelihood_cond_only,501,True,4.0375888348e-03,50,0,1.0000000000e+00,0,0.0000000000e+00,2.3940000000e+04,6.6500000000e+02,2026-05-04T13:16:19.708184
7,1.0000000000e-02,0.0000000000e+00,1,3,7.0381355549e-02,full_likelihood_cond_only,843,True,3.9678812027e-03,110,0,1.0000000000e+00,0,0.0000000000e+00,3.0564000000e+04,8.4900000000e+02,2026-05-04T13:16:19.745277
7,1.0000000000e-02,0.0000000000e+00,1,3,7.9123426190e-02,full_likelihood_cond_only,69,True,4.2555034161e-03,10,0,1.0000000000e+00,0,0.0000000000e+00,2.2680000000e+03,6.3000000000e+01,2026-05-04T13:16:19.757395
7,1.0000000000e-02,0.0000000000e+00,1,3,8.8951349731e-02,full_likelihood_cond_only,2010,True,4.8525333405e-03,350,0,1.0000000000e+00,0,0.0000000000e+00,5.4792000000e+04,1.5220000000e+03,2026-05-04T13:16:19.841832
7,1.0000000000e-02,0.0000000000e+00,1,3,1.0000000000e-01,full_likelihood_cond_only,306,True,6.6021084785e-04,50,0,1.0000000000e+00,0,0.0000000000e+00,8.6400000000e+03,2.4000000000e+02,2026-05-04T13:16:19.861520
6,1.0000000000e-02,0.0000000000e+00,1,3,1.0000000000e-04,full_likelihood_cond_only,239334,True,1.0907649994e-05,50,0,1.0000000000e+00,0,0.0000000000e+00,6.2254157040e+09,1.7292821400e+08,2026-05-04T13:15:25.010330
6,1.0000000000e-02,0.0000000000e+00,1,3,1.1242100351e-04,full_likelihood_cond_only,908082,True,1.0907649994e-05,200,0,1.0000000000e+00,0,0.0000000000e+00,2.2018995216e+10,6.1163875600e+08,2026-05-04T13:15:25.172282
6,1.0000000000e-02,0.0000000000e+00,1,3,1.2638482029e-04,full_likelihood_cond_only,550881,True,1.0907649994e-05,140,0,1.0000000000e+00,1,7.1428571429e-03,1.1235610188e+10,3.1393646300e+08,2026-05-04T13:15:25.276412
6,1.0000000000e-02,0.0000000000e+00,1,3,1.4208308325e-04,full_likelihood_cond_only,343983,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,6.3079058520e+09,1.7521960700e+08,2026-05-04T13:15:25.360899
6,1.0000000000e-02,0.0000000000e+00,1,3,1.5973122801e-04,full_likelihood_cond_only,1497117,True,1.0907649994e-05,480,0,1.0000000000e+00,2,4.1666666667e-03,2.5075513496e+10,6.9882211100e+08,2026-05-04T13:15:25.686203
6,1.0000000000e-02,0.0000000000e+00,1,3,1.7957144944e-04,full_likelihood_cond_only,139662870,False,2.5414118767e+00,50000,0,1.0000000000e+00,91,1.8200000000e-03,2.0731385452e+12,5.7648198794e+10,2026-05-04T13:15:37.425999
6,1.0000000000e-02,0.0000000000e+00,1,3,2.0187602547e-04,full_likelihood_cond_only,148773,True,3.7044286728e-05,60,0,1.0000000000e+00,0,0.0000000000e+00,1.9325355480e+09,5.3681543000e+07,2026-05-04T13:15:37.491755
6,1.0000000000e-02,0.0000000000e+00,1,3,2.2695105367e-04,full_likelihood_cond_only,47619,True,3.7044286728e-05,20,0,1.0000000000e+00,0,0.0000000000e+00,5.5646060400e+08,1.5457239000e+07,2026-05-04T13:15:37.517094
6,1.0000000000e-02,0.0000000000e+00,1,3,2.5514065200e-04,full_likelihood_cond_only,54924,True,1.0907649994e-05,30,0,1.0000000000e+00,0,0.0000000000e+00,5.5902499200e+08,1.5528472000e+07,2026-05-04T13:15:37.549348
6,1.0000000000e-02,0.0000000000e+00,1,3,2.8683168133e-04,full_likelihood_cond_only,273498,True,1.0907649994e-05,160,0,1.0000000000e+00,0,0.0000000000e+00,2.5282149840e+09,7.0228194000e+07,2026-05-04T13:15:37.676307
6,1.0000000000e-02,0.0000000000e+00,1,3,3.2245905453e-04,full_likelihood_cond_only,77552643,False,2.5414118767e+00,50000,0,1.0000000000e+00,83,1.6600000000e-03,6.4043546694e+11,1.7804822785e+10,2026-05-04T13:15:47.924276
6,1.0000000000e-02,0.0000000000e+00,1,3,3.6251170500e-04,full_likelihood_cond_only,3448551,True,1.0907649994e-05,2510,0,1.0000000000e+00,4,1.5936254980e-03,2.5191847524e+10,7.0040997900e+08,2026-05-04T13:15:48.976334
6,1.0000000000e-02,0.0000000000e+00,1,3,4.0753929659e-04,full_likelihood_cond_only,127737,True,3.7044286728e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,8.6158270800e+08,2.3932853000e+07,2026-05-04T13:15:49.057539
6,1.0000000000e-02,0.0000000000e+00,1,3,4.5815976691e-04,full_likelihood_cond_only,116976,True,1.0907649994e-05,120,0,1.0000000000e+00,0,0.0000000000e+00,6.2674243200e+08,1.7409512000e+07,2026-05-04T13:15:49.153003
6,1.0000000000e-02,0.0000000000e+00,1,3,5.1506780762e-04,full_likelihood_cond_only,2113182,True,1.0907649994e-05,2180,0,1.0000000000e+00,6,2.7522935780e-03,1.0831942884e+10,3.0118320400e+08,2026-05-04T13:15:50.037646
6,1.0000000000e-02,0.0000000000e+00,1,3,5.7904439806e-04,full_likelihood_cond_only,5847,True,3.7044286728e-05,10,0,1.0000000000e+00,0,0.0000000000e+00,2.4238836000e+07,6.7330100000e+05,2026-05-04T13:15:50.056152
6,1.0000000000e-02,0.0000000000e+00,1,3,6.5096752305e-04,full_likelihood_cond_only,22671,True,1.8084049225e-04,30,0,1.0000000000e+00,0,0.0000000000e+00,9.0275436000e+07,2.5076510000e+06,2026-05-04T13:15:50.085762
6,1.0000000000e-02,0.0000000000e+00,1,3,7.3182422191e-04,full_likelihood_cond_only,34281126,False,6.0018110275e-01,50000,0,1.0000000000e+00,89,1.7800000000e-03,1.2498559671e+11,3.4747839420e+09,2026-05-04T13:15:59.437461
6,1.0000000000e-02,0.0000000000e+00,1,3,8.2272413417e-04,full_likelihood_cond_only,202938,True,3.7044286728e-05,330,0,1.0000000000e+00,1,3.0303030303e-03,6.6245695200e+08,1.8447662000e+07,2026-05-04T13:15:59.632822
6,1.0000000000e-02,0.0000000000e+00,1,3,9.2491472772e-04,full_likelihood_cond_only,238854,True,3.7044286728e-05,430,0,1.0000000000e+00,2,4.6511627907e-03,6.9569225600e+08,1.9362946000e+07,2026-05-04T13:15:59.865637
6,1.0000000000e-02,0.0000000000e+00,1,3,1.0397984185e-03,full_likelihood_cond_only,19227,True,5.8829784393e-05,40,0,1.0000000000e+00,0,0.0000000000e+00,5.1696756000e+07,1.4360210000e+06,2026-05-04T13:15:59.899929
6,1.0000000000e-02,0.0000000000e+00,1,3,1.1689518165e-03,full_likelihood_cond_only,10979151,True,1.0907649994e-05,25530,0,1.0000000000e+00,50,1.9584802193e-03,2.5090479932e+10,6.9777988700e+08,2026-05-04T13:16:04.637569
6,1.0000000000e-02,0.0000000000e+00,1,3,1.3141473626e-03,full_likelihood_cond_only,77691,True,3.7044286728e-05,210,0,1.0000000000e+00,0,0.0000000000e+00,1.5994479600e+08,4.4429110000e+06,2026-05-04T13:16:04.759495
6,1.0000000000e-02,0.0000000000e+00,1,3,1.4773776526e-03,full_likelihood_cond_only,10308,True,8.4966421127e-05,30,0,1.0000000000e+00,0,0.0000000000e+00,1.9357848000e+07,5.3771800000e+05,2026-05-04T13:16:04.785088
6,1.0000000000e-02,0.0000000000e+00,1,3,1.6608827826e-03,full_likelihood_cond_only,16443,True,1.0907649994e-05,50,0,1.0000000000e+00,0,0.0000000000e+00,2.7823068000e+07,7.7286300000e+05,2026-05-04T13:16:04.821906
6,1.0000000000e-02,0.0000000000e+00,1,3,1.8671810913e-03,full_likelihood_cond_only,5229,True,6.1228871346e-04,20,0,1.0000000000e+00,0,0.0000000000e+00,6.8662440000e+06,1.9072900000e+05,2026-05-04T13:16:04.842472
6,1.0000000000e-02,0.0000000000e+00,1,3,2.0991037201e-03,full_likelihood_cond_only,6780,True,1.0654926300e-03,30,0,1.0000000000e+00,0,0.0000000000e+00,8.2758960000e+06,2.2988600000e+05,2026-05-04T13:16:04.866675
6,1.0000000000e-02,0.0000000000e+00,1,3,2.3598334668e-03,full_likelihood_cond_only,69267,True,1.8084049225e-04,320,0,1.0000000000e+00,1,3.1250000000e-03,7.9346476000e+07,2.2131710000e+06,2026-05-04T13:16:05.008630
6,1.0000000000e-02,0.0000000000e+00,1,3,2.6529484644e-03,full_likelihood_cond_only,6132,True,3.2466650009e-04,30,0,1.0000000000e+00,0,0.0000000000e+00,6.9929280000e+06,1.9424800000e+05,2026-05-04T13:16:05.032705
6,1.0000000000e-02,0.0000000000e+00,1,3,2.9824712862e-03,full_likelihood_cond_only,8247,True,1.5470385551e-04,50,0,1.0000000000e+00,0,0.0000000000e+00,7.2060120000e+06,2.0016700000e+05,2026-05-04T13:16:05.069504
6,1.0000000000e-02,0.0000000000e+00,1,3,3.3529241492e-03,full_likelihood_cond_only,1479,True,8.0403685570e-04,10,0,1.0000000000e+00,0,0.0000000000e+00,1.2801240000e+06,3.5559000000e+04,2026-05-04T13:16:05.081867
6,1.0000000000e-02,0.0000000000e+00,1,3,3.7693909754e-03,full_likelihood_cond_only,52542,True,1.8084049225e-04,410,0,1.0000000000e+00,0,0.0000000000e+00,3.6804816000e+07,1.0223560000e+06,2026-05-04T13:16:05.218061
6,1.0000000000e-02,0.0000000000e+00,1,3,4.2375871606e-03,full_likelihood_cond_only,3672,True,1.5470385551e-04,30,0,1.0000000000e+00,0,0.0000000000e+00,2.3724000000e+06,6.5900000000e+04,2026-05-04T13:16:05.242266
6,1.0000000000e-02,0.0000000000e+00,1,3,4.7639380104e-03,full_likelihood_cond_only,5679,True,8.2582235336e-04,50,0,1.0000000000e+00,0,0.0000000000e+00,3.2848920000e+06,9.1247000000e+04,2026-05-04T13:16:05.276275
6,1.0000000000e-02,0.0000000000e+00,1,3,5.3556669177e-03,full_likelihood_cond_only,49704,True,3.7044286728e-05,520,0,1.0000000000e+00,2,3.8461538462e-03,2.4960968000e+07,6.9467800000e+05,2026-05-04T13:16:05.423344
6,1.0000000000e-02,0.0000000000e+00,1,3,6.0208944933e-03,full_likelihood_cond_only,7347,True,1.5470385551e-04,90,0,1.0000000000e+00,0,0.0000000000e+00,3.2771880000e+06,9.1033000000e+04,2026-05-04T13:16:05.466475
6,1.0000000000e-02,0.0000000000e+00,1,3,6.7687500095e-03,full_likelihood_cond_only,792,True,3.6540925503e-03,10,0,1.0000000000e+00,0,0.0000000000e+00,3.2875200000e+05,9.1320000000e+03,2026-05-04T13:16:05.479813
6,1.0000000000e-02,0.0000000000e+00,1,3,7.6094966855e-03,full_likelihood_cond_only,8949,True,5.8829784393e-05,130,0,1.0000000000e+00,0,0.0000000000e+00,3.2559480000e+06,9.0443000000e+04,2026-05-04T13:16:05.530983
6,1.0000000000e-02,0.0000000000e+00,1,3,8.5546725356e-03,full_likelihood_cond_only,1239,True,3.7979185581e-03,20,0,1.0000000000e+00,0,0.0000000000e+00,3.7018800000e+05,1.0283000000e+04,2026-05-04T13:16:05.548329
6,1.0000000000e-02,0.0000000000e+00,1,3,9.6172487112e-03,full_likelihood_cond_only,8595,True,1.0907649994e-05,150,0,1.0000000000e+00,0,0.0000000000e+00,2.5035480000e+06,6.9543000000e+04,2026-05-04T13:16:05.604482
6,1.0000000000e-02,0.0000000000e+00,1,3,1.0811807511e-02,full_likelihood_cond_only,2655,True,2.9350519180e-03,60,0,1.0000000000e+00,0,0.0000000000e+00,6.3126000000e+05,1.7535000000e+04,2026-05-04T13:16:05.638883
6,1.0000000000e-02,0.0000000000e+00,1,3,1.2154742501e-02,full_likelihood_cond_only,124524,True,8.4966421127e-05,2990,0,1.0000000000e+00,3,1.0033444816e-03,2.7477200000e+07,7.6365000000e+05,2026-05-04T13:16:06.208652
6,1.0000000000e-02,0.0000000000e+00,1,3,1.3664483493e-02,full_likelihood_cond_only,1074,True,2.7671456337e-04,30,0,1.0000000000e+00,0,0.0000000000e+00,2.0664000000e+05,5.7400000000e+03,2026-05-04T13:16:06.232784
6,1.0000000000e-02,0.0000000000e+00,1,3,1.5361749467e-02,full_likelihood_cond_only,1646628,False,3.1414120197e+00,50000,0,1.0000000000e+00,75,1.5000000000e-03,2.8270704800e+08,7.8581780000e+06,2026-05-04T13:16:15.287359
6,1.0000000000e-02,0.0000000000e+00,1,3,1.7269832907e-02,full_likelihood_cond_only,2124,True,6.8199634552e-04,70,0,1.0000000000e+00,0,0.0000000000e+00,3.2544000000e+05,9.0400000000e+03,2026-05-04T13:16:15.320732
6,1.0000000000e-02,0.0000000000e+00,1,3,1.9414919457e-02,full_likelihood_cond_only,867,True,1.0175704956e-03,30,0,1.0000000000e+00,0,0.0000000000e+00,1.2286800000e+05,3.4130000000e+03,2026-05-04T13:16:15.339641
6,1.0000000000e-02,0.0000000000e+00,1,3,2.1826447284e-02,full_likelihood_cond_only,2694,True,5.1641464233e-04,110,0,1.0000000000e+00,0,0.0000000000e+00,3.3840000000e+05,9.4000000000e+03,2026-05-04T13:16:15.373491
6,1.0000000000e-02,0.0000000000e+00,1,3,2.4537511066e-02,full_likelihood_cond_only,888,True,2.4556815624e-03,40,0,1.0000000000e+00,0,0.0000000000e+00,9.6840000000e+04,2.6900000000e+03,2026-05-04T13:16:15.396305
6,1.0000000000e-02,0.0000000000e+00,1,3,2.7585316176e-02,full_likelihood_cond_only,396,True,5.2621662617e-03,20,0,1.0000000000e+00,0,0.0000000000e+00,4.2768000000e+04,1.1880000000e+03,2026-05-04T13:16:15.412820
6,1.0000000000e-02,0.0000000000e+00,1,3,3.1011689266e-02,full_likelihood_cond_only,4974,True,2.6953518391e-03,310,0,1.0000000000e+00,1,3.2258064516e-03,4.1724400000e+05,1.1604000000e+04,2026-05-04T13:16:15.480115
6,1.0000000000e-02,0.0000000000e+00,1,3,3.4863652277e-02,full_likelihood_cond_only,321,True,5.7415366173e-03,20,0,1.0000000000e+00,0,0.0000000000e+00,2.5308000000e+04,7.0300000000e+02,2026-05-04T13:16:15.495516
